State,Year,Quarter
andaman-&-nicobar-islands,2018,1
andaman-&-nicobar-islands,2018,2
andaman-&-nicobar-islands,2018,3
andaman-&-nicobar-islands,2018,4
andaman-&-nicobar-islands,2019,1
andaman-&-nicobar-islands,2019,2
andaman-&-nicobar-islands,2019,3
andaman-&-nicobar-islands,2019,4
andaman-&-nicobar-islands,2020,1
andaman-&-nicobar-islands,2020,2
andaman-&-nicobar-islands,2020,3
andaman-&-nicobar-islands,2020,4
andaman-&-nicobar-islands,2021,1
andaman-&-nicobar-islands,2021,2
andaman-&-nicobar-islands,2021,3
andaman-&-nicobar-islands,2021,4
andaman-&-nicobar-islands,2022,1
andaman-&-nicobar-islands,2022,2
andaman-&-nicobar-islands,2022,3
andaman-&-nicobar-islands,2022,4
andaman-&-nicobar-islands,2023,1
andaman-&-nicobar-islands,2023,2
andaman-&-nicobar-islands,2023,3
andaman-&-nicobar-islands,2023,4
andhra-pradesh,2018,1
andhra-pradesh,2018,2
andhra-pradesh,2018,3
andhra-pradesh,2018,4
andhra-pradesh,2019,1
andhra-pradesh,2019,2
andhra-pradesh,2019,3
andhra-pradesh,2019,4
andhra-pradesh,2020,1
andhra-pradesh,2020,2
andhra-pradesh,2020,3
andhra-pradesh,2020,4
andhra-pradesh,2021,1
andhra-pradesh,2021,2
andhra-pradesh,2021,3
andhra-pradesh,2021,4
andhra-pradesh,2022,1
andhra-pradesh,2022,2
andhra-pradesh,2022,3
andhra-pradesh,2022,4
andhra-pradesh,2023,1
andhra-pradesh,2023,2
andhra-pradesh,2023,3
andhra-pradesh,2023,4
arunachal-pradesh,2018,1
arunachal-pradesh,2018,2
arunachal-pradesh,2018,3
arunachal-pradesh,2018,4
arunachal-pradesh,2019,1
arunachal-pradesh,2019,2
arunachal-pradesh,2019,3
arunachal-pradesh,2019,4
arunachal-pradesh,2020,1
arunachal-pradesh,2020,2
arunachal-pradesh,2020,3
arunachal-pradesh,2020,4
arunachal-pradesh,2021,1
arunachal-pradesh,2021,2
arunachal-pradesh,2021,3
arunachal-pradesh,2021,4
arunachal-pradesh,2022,1
arunachal-pradesh,2022,2
arunachal-pradesh,2022,3
arunachal-pradesh,2022,4
arunachal-pradesh,2023,1
arunachal-pradesh,2023,2
arunachal-pradesh,2023,3
arunachal-pradesh,2023,4
assam,2018,1
assam,2018,2
assam,2018,3
assam,2018,4
assam,2019,1
assam,2019,2
assam,2019,3
assam,2019,4
assam,2020,1
assam,2020,2
assam,2020,3
assam,2020,4
assam,2021,1
assam,2021,2
assam,2021,3
assam,2021,4
assam,2022,1
assam,2022,2
assam,2022,3
assam,2022,4
assam,2023,1
assam,2023,2
assam,2023,3
assam,2023,4
bihar,2018,1
bihar,2018,2
bihar,2018,3
bihar,2018,4
bihar,2019,1
bihar,2019,2
bihar,2019,3
bihar,2019,4
bihar,2020,1
bihar,2020,2
bihar,2020,3
bihar,2020,4
bihar,2021,1
bihar,2021,2
bihar,2021,3
bihar,2021,4
bihar,2022,1
bihar,2022,2
bihar,2022,3
bihar,2022,4
bihar,2023,1
bihar,2023,2
bihar,2023,3
bihar,2023,4
chandigarh,2018,1
chandigarh,2018,2
chandigarh,2018,3
chandigarh,2018,4
chandigarh,2019,1
chandigarh,2019,2
chandigarh,2019,3
chandigarh,2019,4
chandigarh,2020,1
chandigarh,2020,2
chandigarh,2020,3
chandigarh,2020,4
chandigarh,2021,1
chandigarh,2021,2
chandigarh,2021,3
chandigarh,2021,4
chandigarh,2022,1
chandigarh,2022,2
chandigarh,2022,3
chandigarh,2022,4
chandigarh,2023,1
chandigarh,2023,2
chandigarh,2023,3
chandigarh,2023,4
chhattisgarh,2018,1
chhattisgarh,2018,2
chhattisgarh,2018,3
chhattisgarh,2018,4
chhattisgarh,2019,1
chhattisgarh,2019,2
chhattisgarh,2019,3
chhattisgarh,2019,4
chhattisgarh,2020,1
chhattisgarh,2020,2
chhattisgarh,2020,3
chhattisgarh,2020,4
chhattisgarh,2021,1
chhattisgarh,2021,2
chhattisgarh,2021,3
chhattisgarh,2021,4
chhattisgarh,2022,1
chhattisgarh,2022,2
chhattisgarh,2022,3
chhattisgarh,2022,4
chhattisgarh,2023,1
chhattisgarh,2023,2
chhattisgarh,2023,3
chhattisgarh,2023,4
dadra-&-nagar-haveli-&-daman-&-diu,2018,1
dadra-&-nagar-haveli-&-daman-&-diu,2018,2
dadra-&-nagar-haveli-&-daman-&-diu,2018,3
dadra-&-nagar-haveli-&-daman-&-diu,2018,4
dadra-&-nagar-haveli-&-daman-&-diu,2019,1
dadra-&-nagar-haveli-&-daman-&-diu,2019,2
dadra-&-nagar-haveli-&-daman-&-diu,2019,3
dadra-&-nagar-haveli-&-daman-&-diu,2019,4
dadra-&-nagar-haveli-&-daman-&-diu,2020,1
dadra-&-nagar-haveli-&-daman-&-diu,2020,2
dadra-&-nagar-haveli-&-daman-&-diu,2020,3
dadra-&-nagar-haveli-&-daman-&-diu,2020,4
dadra-&-nagar-haveli-&-daman-&-diu,2021,1
dadra-&-nagar-haveli-&-daman-&-diu,2021,2
dadra-&-nagar-haveli-&-daman-&-diu,2021,3
dadra-&-nagar-haveli-&-daman-&-diu,2021,4
dadra-&-nagar-haveli-&-daman-&-diu,2022,1
dadra-&-nagar-haveli-&-daman-&-diu,2022,2
dadra-&-nagar-haveli-&-daman-&-diu,2022,3
dadra-&-nagar-haveli-&-daman-&-diu,2022,4
dadra-&-nagar-haveli-&-daman-&-diu,2023,1
dadra-&-nagar-haveli-&-daman-&-diu,2023,2
dadra-&-nagar-haveli-&-daman-&-diu,2023,3
dadra-&-nagar-haveli-&-daman-&-diu,2023,4
delhi,2018,1
delhi,2018,2
delhi,2018,3
delhi,2018,4
delhi,2019,1
delhi,2019,2
delhi,2019,3
delhi,2019,4
delhi,2020,1
delhi,2020,2
delhi,2020,3
delhi,2020,4
delhi,2021,1
delhi,2021,2
delhi,2021,3
delhi,2021,4
delhi,2022,1
delhi,2022,2
delhi,2022,3
delhi,2022,4
delhi,2023,1
delhi,2023,2
delhi,2023,3
delhi,2023,4
goa,2018,1
goa,2018,2
goa,2018,3
goa,2018,4
goa,2019,1
goa,2019,2
goa,2019,3
goa,2019,4
goa,2020,1
goa,2020,2
goa,2020,3
goa,2020,4
goa,2021,1
goa,2021,2
goa,2021,3
goa,2021,4
goa,2022,1
goa,2022,2
goa,2022,3
goa,2022,4
goa,2023,1
goa,2023,2
goa,2023,3
goa,2023,4
gujarat,2018,1
gujarat,2018,2
gujarat,2018,3
gujarat,2018,4
gujarat,2019,1
gujarat,2019,2
gujarat,2019,3
gujarat,2019,4
gujarat,2020,1
gujarat,2020,2
gujarat,2020,3
gujarat,2020,4
gujarat,2021,1
gujarat,2021,2
gujarat,2021,3
gujarat,2021,4
gujarat,2022,1
gujarat,2022,2
gujarat,2022,3
gujarat,2022,4
gujarat,2023,1
gujarat,2023,2
gujarat,2023,3
gujarat,2023,4
haryana,2018,1
haryana,2018,2
haryana,2018,3
haryana,2018,4
haryana,2019,1
haryana,2019,2
haryana,2019,3
haryana,2019,4
haryana,2020,1
haryana,2020,2
haryana,2020,3
haryana,2020,4
haryana,2021,1
haryana,2021,2
haryana,2021,3
haryana,2021,4
haryana,2022,1
haryana,2022,2
haryana,2022,3
haryana,2022,4
haryana,2023,1
haryana,2023,2
haryana,2023,3
haryana,2023,4
himachal-pradesh,2018,1
himachal-pradesh,2018,2
himachal-pradesh,2018,3
himachal-pradesh,2018,4
himachal-pradesh,2019,1
himachal-pradesh,2019,2
himachal-pradesh,2019,3
himachal-pradesh,2019,4
himachal-pradesh,2020,1
himachal-pradesh,2020,2
himachal-pradesh,2020,3
himachal-pradesh,2020,4
himachal-pradesh,2021,1
himachal-pradesh,2021,2
himachal-pradesh,2021,3
himachal-pradesh,2021,4
himachal-pradesh,2022,1
himachal-pradesh,2022,2
himachal-pradesh,2022,3
himachal-pradesh,2022,4
himachal-pradesh,2023,1
himachal-pradesh,2023,2
himachal-pradesh,2023,3
himachal-pradesh,2023,4
jammu-&-kashmir,2018,1
jammu-&-kashmir,2018,2
jammu-&-kashmir,2018,3
jammu-&-kashmir,2018,4
jammu-&-kashmir,2019,1
jammu-&-kashmir,2019,2
jammu-&-kashmir,2019,3
jammu-&-kashmir,2019,4
jammu-&-kashmir,2020,1
jammu-&-kashmir,2020,2
jammu-&-kashmir,2020,3
jammu-&-kashmir,2020,4
jammu-&-kashmir,2021,1
jammu-&-kashmir,2021,2
jammu-&-kashmir,2021,3
jammu-&-kashmir,2021,4
jammu-&-kashmir,2022,1
jammu-&-kashmir,2022,2
jammu-&-kashmir,2022,3
jammu-&-kashmir,2022,4
jammu-&-kashmir,2023,1
jammu-&-kashmir,2023,2
jammu-&-kashmir,2023,3
jammu-&-kashmir,2023,4
jharkhand,2018,1
jharkhand,2018,2
jharkhand,2018,3
jharkhand,2018,4
jharkhand,2019,1
jharkhand,2019,2
jharkhand,2019,3
jharkhand,2019,4
jharkhand,2020,1
jharkhand,2020,2
jharkhand,2020,3
jharkhand,2020,4
jharkhand,2021,1
jharkhand,2021,2
jharkhand,2021,3
jharkhand,2021,4
jharkhand,2022,1
jharkhand,2022,2
jharkhand,2022,3
jharkhand,2022,4
jharkhand,2023,1
jharkhand,2023,2
jharkhand,2023,3
jharkhand,2023,4
karnataka,2018,1
karnataka,2018,2
karnataka,2018,3
karnataka,2018,4
karnataka,2019,1
karnataka,2019,2
karnataka,2019,3
karnataka,2019,4
karnataka,2020,1
karnataka,2020,2
